gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Cmpk1,0.618,2.22,0.08,0.19,0.04,0.15
Txn1,0.617,1.61,0.28,0.36,0.17,0.31
Tpm1,0.617,1.73,0.29,0.40,0.17,0.28
Fgfr1op2,0.617,1.31,0.05,0.16,0.04,0.09
Gps2,0.617,1.53,0.05,0.16,0.04,0.09
Hist1h2bc,0.617,1.77,0.11,0.23,0.06,0.14
Chordc1,0.617,3.05,0.08,0.15,0.03,0.13
Ppp1r7,0.617,4.96,0.05,0.12,0.01,0.07
Sema4b,0.617,4.83,0.05,0.12,0.01,0.07
Aprt,0.617,3.15,0.05,0.13,0.02,0.06
Gclm,0.616,2.34,0.08,0.19,0.03,0.14
Gapdh,0.616,1.70,0.22,0.35,0.13,0.26
Hspd1,0.616,1.78,0.12,0.24,0.07,0.19
Pdcl3,0.616,3.77,0.04,0.12,0.01,0.03
Rnf44,0.616,5.01,0.07,0.12,0.01,0.03
Dad1,0.616,1.18,0.07,0.23,0.06,0.16
Gpx4,0.616,2.09,0.36,0.44,0.17,0.34
Fermt1,0.616,2.05,0.16,0.31,0.08,0.22
Dcp2,0.615,2.91,0.05,0.12,0.02,0.05
Itpripl2,0.615,4.91,0.05,0.14,0.01,0.03
Coasy,0.615,16.72,0.08,0.09,0.00,0.03
Nedd9,0.615,1.82,0.15,0.26,0.08,0.23
Ndfip1,0.614,1.63,0.13,0.30,0.08,0.28
Plekha1,0.614,1.57,0.06,0.16,0.04,0.14
Atp6v1g1,0.614,1.50,0.08,0.24,0.05,0.13
Pi4ka,0.614,4.63,0.06,0.10,0.01,0.07
Psma1,0.614,2.64,0.06,0.15,0.02,0.08
Atp5f1,0.613,1.48,0.14,0.29,0.09,0.21
Tmc4,0.613,2.05,0.10,0.23,0.05,0.16
Reg3b,0.613,2.46,2.60,0.76,1.06,0.63
Tpr,0.613,1.64,0.27,0.47,0.16,0.35
Selenop,0.613,1.92,0.32,0.48,0.17,0.35
Ybx3,0.613,1.67,0.13,0.29,0.08,0.24
Eif1,0.612,1.86,0.40,0.47,0.22,0.40
Procr,0.612,2.98,0.12,0.19,0.04,0.12
Kmt5a,0.612,1.64,0.11,0.27,0.07,0.22
Emc6,0.612,2.09,0.08,0.19,0.04,0.08
